subset	model	method	topk_detection_precision	topk_detection_recall	topk_detection_f1	topk_detection_hit_rate	conformal_detection_precision	conformal_detection_recall	conformal_detection_f1	conformal_detection_hit_rate	acc@1	acc@2	acc@3	mrr@3	tol_acc@1	tol_acc@2	tol_acc@3	tol_acc@4	tol_acc@5	auroc	auprc	n
hand-crafted	deepseek-8b	oat.s46	0.1149	0.3448	0.1724	0.3448	0.1031	0.4483	0.1444	0.4483	0.1724	0.2241	0.3448	0.2385	0.2241	0.2586	0.3103	0.4138	0.4138	0.7012	0.0611	58
hand-crafted	deepseek-8b	stepfinder.s42	0.0920	0.2759	0.1379	0.2759					0.1034	0.1379	0.2759	0.1667	0.1897	0.2586	0.3276	0.3621	0.4138	0.6964	0.1261	58
hand-crafted	deepseek-8b	stepfinder.s43	0.0747	0.2241	0.1121	0.2241					0.0690	0.1034	0.2241	0.1264	0.1724	0.2931	0.3621	0.3793	0.4483	0.7527	0.0832	58
hand-crafted	deepseek-8b	stepfinder.s44	0.0575	0.1724	0.0862	0.1724					0.0690	0.1552	0.1724	0.1178	0.1379	0.1897	0.2759	0.2931	0.3276	0.6369	0.1083	58
hand-crafted	deepseek-8b	stepfinder.s45	0.0632	0.1897	0.0948	0.1897					0.1207	0.1552	0.1897	0.1494	0.2241	0.2586	0.3621	0.3621	0.3793	0.6360	0.1064	58
hand-crafted	deepseek-8b	stepfinder.s46	0.0575	0.1724	0.0862	0.1724					0.1207	0.1552	0.1724	0.1437	0.1897	0.2586	0.3448	0.3793	0.4138	0.6184	0.0970	58
hand-crafted	qwen3-embedding-0.6b	stepfinder.e1	0.0894	0.2683	0.1341	0.2683					0.1220	0.1951	0.2683	0.1829	0.2195	0.2439	0.2439	0.2439	0.2683	0.6837	0.0668	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.e10	0.0813	0.2439	0.1220	0.2439					0.1220	0.1951	0.2439	0.1748	0.1463	0.1707	0.1951	0.2439	0.2439	0.6451	0.0605	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.e11	0.0569	0.1707	0.0854	0.1707					0.0488	0.0976	0.1707	0.0976	0.0732	0.0976	0.1220	0.2195	0.2439	0.6388	0.0368	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.e12	0.0569	0.1707	0.0854	0.1707					0.0732	0.1463	0.1707	0.1179	0.1463	0.1463	0.2195	0.2927	0.3171	0.7292	0.0616	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.e13	0.0732	0.2195	0.1098	0.2195					0.0732	0.1220	0.2195	0.1301	0.0976	0.1220	0.1220	0.2195	0.2195	0.5618	0.0388	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.e14	0.1138	0.3415	0.1707	0.3415					0.1707	0.3171	0.3415	0.2520	0.2439	0.2439	0.2683	0.3415	0.4146	0.7341	0.0869	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.e15	0.0813	0.2439	0.1220	0.2439					0.0976	0.1707	0.2439	0.1585	0.1707	0.1951	0.2439	0.2683	0.2927	0.6108	0.0532	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.e16	0.0732	0.2195	0.1098	0.2195					0.1220	0.1707	0.2195	0.1626	0.1220	0.2195	0.2683	0.3659	0.3659	0.7755	0.0813	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.e17	0.1057	0.3171	0.1585	0.3171					0.2195	0.2927	0.3171	0.2642	0.2927	0.3415	0.3659	0.4390	0.4878	0.7663	0.1697	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.e18	0.1057	0.3171	0.1585	0.3171					0.2439	0.3171	0.3171	0.2805	0.2927	0.2927	0.3171	0.3659	0.3659	0.7285	0.1293	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.e19	0.0732	0.2195	0.1098	0.2195					0.1220	0.1951	0.2195	0.1667	0.1463	0.1707	0.1951	0.3171	0.3171	0.6447	0.0579	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.e2	0.1138	0.3415	0.1707	0.3415					0.2195	0.2195	0.3415	0.2602	0.2439	0.2683	0.2683	0.3415	0.3415	0.7177	0.1061	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.e20	0.0813	0.2439	0.1220	0.2439					0.1220	0.1951	0.2439	0.1748	0.1707	0.1951	0.2439	0.3171	0.3415	0.6976	0.0899	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.e3	0.0813	0.2439	0.1220	0.2439					0.0976	0.1951	0.2439	0.1626	0.1220	0.1463	0.2195	0.3415	0.4390	0.7592	0.0781	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.e4	0.0894	0.2683	0.1341	0.2683					0.1463	0.1707	0.2683	0.1911	0.1951	0.2195	0.2927	0.3902	0.4146	0.6781	0.1048	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.e5	0.1057	0.3171	0.1585	0.3171					0.1951	0.2439	0.3171	0.2439	0.2927	0.3171	0.3171	0.3659	0.4146	0.7791	0.1461	41
