subset	model	method	topk_detection_precision	topk_detection_recall	topk_detection_f1	topk_detection_hit_rate	conformal_detection_precision	conformal_detection_recall	conformal_detection_f1	conformal_detection_hit_rate	acc@1	acc@2	acc@3	mrr@3	tol_acc@1	tol_acc@2	tol_acc@3	tol_acc@4	tol_acc@5	auroc	auprc	n
math500	qwen3.5-9b	oat.s44	0.4809	0.7389	0.5456	0.7389	0.4799	0.5287	0.4915	0.5287	0.4777	0.6624	0.7389	0.5955	0.6624	0.8153	0.8981	0.9363	0.9745	0.5433	0.1963	157
math500	qwen3.5-9b	oat.s45	0.4851	0.7516	0.5520	0.7516	0.4921	0.5605	0.5082	0.5605	0.5096	0.6688	0.7516	0.6168	0.6815	0.8217	0.8981	0.9299	0.9682	0.5275	0.1913	157
math500	qwen3.5-9b	oat.s46	0.4809	0.7389	0.5456	0.7389	0.4779	0.5159	0.4881	0.5159	0.4841	0.6433	0.7389	0.5955	0.6815	0.8280	0.8981	0.9236	0.9682	0.5642	0.2056	157
math500	qwen3.5-9b	stepfinder.s42	0.3089	0.7516	0.4342	0.7516					0.3312	0.6369	0.7516	0.5223	0.6688	0.8599	0.9045	0.9299	0.9554	0.7566	0.3679	157
math500	qwen3.5-9b	stepfinder.s43	0.2813	0.6688	0.3928	0.6688					0.4013	0.5541	0.6688	0.5159	0.6115	0.7643	0.8726	0.8981	0.9236	0.7088	0.4075	157
math500	qwen3.5-9b	stepfinder.s44	0.3132	0.7643	0.4406	0.7643					0.4968	0.6688	0.7643	0.6146	0.7197	0.8153	0.9172	0.9299	0.9618	0.7885	0.5999	157
math500	qwen3.5-9b	stepfinder.s45	0.2941	0.7070	0.4119	0.7070					0.1465	0.5796	0.7070	0.4055	0.6497	0.7771	0.8599	0.8917	0.9299	0.7535	0.3194	157
math500	qwen3.5-9b	stepfinder.s46	0.2962	0.7134	0.4151	0.7134					0.4459	0.6624	0.7134	0.5711	0.6943	0.8089	0.8917	0.9045	0.9363	0.7636	0.5002	157
mmlu_pro	deepseek-8b	oat.s42	0.6649	0.8587	0.7138	0.8587	0.6712	0.7391	0.6825	0.7391	0.6957	0.7717	0.8587	0.7627	0.7500	0.8587	0.8804	0.9239	0.9239	0.7028	0.2793	92
mmlu_pro	deepseek-8b	oat.s43	0.6649	0.8587	0.7138	0.8587	0.6726	0.7391	0.6843	0.7391	0.6848	0.7717	0.8587	0.7572	0.7609	0.8696	0.9022	0.9348	0.9348	0.7553	0.3246	92
mmlu_pro	deepseek-8b	oat.s44	0.6612	0.8478	0.7083	0.8478	0.6618	0.7283	0.6736	0.7283	0.6739	0.7609	0.8478	0.7464	0.7500	0.8587	0.8804	0.9239	0.9239	0.6967	0.2827	92
mmlu_pro	deepseek-8b	oat.s45	0.6612	0.8478	0.7083	0.8478	0.6737	0.7391	0.6859	0.7391	0.6848	0.7609	0.8478	0.7518	0.7391	0.8478	0.8696	0.9130	0.9130	0.7269	0.3003	92
mmlu_pro	deepseek-8b	oat.s46	0.6576	0.8370	0.7029	0.8370	0.6837	0.7609	0.6961	0.7609	0.6957	0.7609	0.8370	0.7536	0.7717	0.8804	0.9130	0.9348	0.9348	0.7172	0.2870	92
mmlu_pro	deepseek-8b	stepfinder.s42	0.3551	0.7826	0.4855	0.7826					0.6087	0.7283	0.7826	0.6866	0.7391	0.8478	0.9130	0.9130	0.9457	0.8257	0.7100	92
mmlu_pro	deepseek-8b	stepfinder.s43	0.3587	0.7935	0.4909	0.7935					0.4022	0.6848	0.7935	0.5797	0.7283	0.8478	0.9239	0.9348	0.9674	0.8120	0.5183	92
mmlu_pro	deepseek-8b	stepfinder.s44	0.3659	0.8152	0.5018	0.8152					0.6957	0.7609	0.8152	0.7464	0.7935	0.8587	0.8696	0.9239	0.9457	0.8319	0.7469	92
mmlu_pro	deepseek-8b	stepfinder.s45	0.3659	0.8152	0.5018	0.8152					0.5435	0.7500	0.8152	0.6685	0.7500	0.8261	0.8913	0.9239	0.9565	0.8200	0.6451	92
mmlu_pro	deepseek-8b	stepfinder.s46	0.3732	0.8370	0.5127	0.8370					0.5652	0.8043	0.8370	0.6957	0.7283	0.8152	0.8804	0.9130	0.9565	0.8404	0.7154	92
mmlu_pro	qwen3-embedding-0.6b	stepfinder.e1	0.3462	0.7538	0.4718	0.7538					0.6615	0.7231	0.7538	0.7026	0.7692	0.7692	0.8462	0.8462	0.8615	0.8192	0.7326	65
mmlu_pro	qwen3-embedding-0.6b	stepfinder.e2	0.3667	0.8154	0.5026	0.8154					0.7231	0.7846	0.8154	0.7641	0.8154	0.8462	0.8615	0.8769	0.8923	0.8654	0.7853	65
mmlu_pro	qwen3-embedding-0.6b	stepfinder.e3	0.3718	0.8462	0.5128	0.8462					0.7077	0.7692	0.8462	0.7641	0.7846	0.8308	0.9231	0.9231	0.9385	0.8759	0.7807	65
mmlu_pro	qwen3-embedding-0.6b	stepfinder.s42	0.3442	0.7500	0.4692	0.7500					0.2283	0.6848	0.7500	0.4783	0.7065	0.8478	0.8696	0.9130	0.9239	0.7797	0.3946	92
mmlu_pro	qwen3-embedding-0.6b	stepfinder.s43	0.3406	0.7391	0.4638	0.7391					0.2391	0.6848	0.7391	0.4801	0.7174	0.8370	0.9239	0.9457	0.9565	0.7859	0.3544	92
mmlu_pro	qwen3-embedding-0.6b	stepfinder.s44	0.3551	0.7826	0.4855	0.7826					0.5000	0.7065	0.7826	0.6286	0.7283	0.8370	0.8913	0.9239	0.9457	0.8122	0.5855	92
mmlu_pro	qwen3-embedding-0.6b	stepfinder.s45	0.3442	0.7500	0.4692	0.7500					0.3587	0.6848	0.7500	0.5435	0.7283	0.8370	0.9239	0.9457	0.9457	0.8019	0.4126	92
mmlu_pro	qwen3-embedding-0.6b	stepfinder.s46	0.3514	0.7717	0.4801	0.7717					0.3478	0.6957	0.7717	0.5471	0.7065	0.7826	0.8478	0.8587	0.8587	0.7803	0.4736	92
mmlu_pro	qwen3.5-9b	oat.s42	0.6576	0.8370	0.7029	0.8370	0.6929	0.7717	0.7082	0.7717	0.6957	0.7935	0.8370	0.7591	0.7500	0.8587	0.8696	0.8913	0.9022	0.6348	0.2451	92
mmlu_pro	qwen3.5-9b	oat.s43	0.6540	0.8261	0.6975	0.8261	0.6905	0.7500	0.7001	0.7500	0.6957	0.7935	0.8261	0.7554	0.7391	0.8478	0.8587	0.8804	0.8913	0.6444	0.2490	92
