model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder-pca.s42_step@1_val	stepfinder-pca.s42_step@1_test	stepfinder-pca.s42_step@1_full	stepfinder-pca.s42_agent@1_val	stepfinder-pca.s42_agent@1_test	stepfinder-pca.s42_agent@1_full	stepfinder-pca.s43_step@1_val	stepfinder-pca.s43_step@1_test	stepfinder-pca.s43_step@1_full	stepfinder-pca.s43_agent@1_val	stepfinder-pca.s43_agent@1_test	stepfinder-pca.s43_agent@1_full	stepfinder-pca.s44_step@1_val	stepfinder-pca.s44_step@1_test	stepfinder-pca.s44_step@1_full	stepfinder-pca.s44_agent@1_val	stepfinder-pca.s44_agent@1_test	stepfinder-pca.s44_agent@1_full	stepfinder-pca.s45_step@1_val	stepfinder-pca.s45_step@1_test	stepfinder-pca.s45_step@1_full	stepfinder-pca.s45_agent@1_val	stepfinder-pca.s45_agent@1_test	stepfinder-pca.s45_agent@1_full	stepfinder-pca.s46_step@1_val	stepfinder-pca.s46_step@1_test	stepfinder-pca.s46_step@1_full	stepfinder-pca.s46_agent@1_val	stepfinder-pca.s46_agent@1_test	stepfinder-pca.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3.5-9b	math500	32.0	79.0	157.0	0.0	0.46875	0.540084388185654	0.4777070063694267	0.5833333333333334	0.6371308016877637	0.5923566878980892	0.4583333333333333	0.5400843881856541	0.48407643312101917	0.5833333333333334	0.6033755274261604	0.5796178343949044	0.4375	0.5147679324894515	0.45859872611464975	0.5625	0.5822784810126582	0.554140127388535	0.4166666666666667	0.5021097046413502	0.44585987261146504	0.5520833333333334	0.5738396624472574	0.5477707006369427	0.5520833333333334	0.6371308016877637	0.5859872611464968	0.5833333333333334	0.6286919831223629	0.5987261146496815	0.6371308016877637	0.6413502109704642	0.5859872611464968	0.5987261146496815
qwen3.5-9b	mmlu_pro	19.0	46.0	92.0	0.0	0.5789473684210525	0.5507246376811593	0.5652173913043478	0.6491228070175439	0.7246376811594203	0.6847826086956522	0.6842105263157895	0.6159420289855073	0.6413043478260869	0.7017543859649124	0.782608695652174	0.75	0.631578947368421	0.5869565217391305	0.6086956521739131	0.7543859649122807	0.782608695652174	0.7717391304347826	0.49122807017543857	0.5144927536231884	0.5108695652173914	0.5789473684210527	0.6811594202898551	0.6521739130434783	0.6666666666666666	0.6521739130434783	0.6739130434782609	0.7192982456140351	0.8188405797101449	0.7934782608695651	0.6594202898550724	0.8188405797101449	0.6739130434782609	0.7934782608695651
qwen3.5-9b	musique	63.0	156.0	312.0	0.0	0.2486772486772487	0.19444444444444442	0.20192307692307696	0.5555555555555556	0.532051282051282	0.532051282051282	0.19576719576719573	0.1217948717948718	0.1346153846153846	0.6084656084656085	0.5384615384615384	0.5544871794871795	0.2698412698412698	0.22222222222222224	0.22435897435897437	0.6031746031746031	0.5726495726495726	0.5737179487179487	0.2698412698412698	0.18803418803418803	0.20833333333333334	0.6137566137566136	0.5705128205128206	0.5641025641025641	0.30158730158730157	0.25	0.2532051282051282	0.619047619047619	0.5598290598290597	0.5673076923076923	0.25	0.5790598290598291	0.2532051282051282	0.5737179487179487
qwen3.5-9b	wikimqa	147.0	367.0	733.0	0.0	0.19727891156462585	0.19891008174386923	0.19781718963165076	0.6439909297052154	0.6575840145322435	0.6466575716234653	0.09523809523809523	0.12352406902815623	0.11596180081855388	0.6621315192743764	0.6739327883742052	0.6684856753069578	0.23356009070294784	0.23887375113533152	0.23738062755798092	0.6666666666666666	0.6948228882833787	0.6807639836289222	0.23582766439909295	0.2461398728428701	0.24283765347885403	0.671201814058957	0.7057220708446866	0.6957708049113234	0.25623582766439906	0.2615803814713897	0.2578444747612551	0.6598639455782312	0.695731153496821	0.6834924965893588	0.2615803814713897	0.706630336058129	0.2578444747612551	0.6957708049113234
deepseek-8b	arc	61.0	152.0	304.0	0.0	0.45901639344262296	0.4583333333333333	0.4440789473684211	0.4972677595628416	0.5175438596491228	0.4934210526315789	0.4754098360655738	0.4780701754385965	0.47368421052631576	0.5355191256830601	0.5635964912280702	0.5460526315789473	0.6721311475409837	0.6578947368421053	0.6743421052631579	0.726775956284153	0.7324561403508771	0.7368421052631579	0.08196721311475409	0.06140350877192982	0.0625	0.13114754098360656	0.14473684210526316	0.13486842105263158	0.5573770491803279	0.5219298245614036	0.5460526315789473	0.6284153005464481	0.6140350877192983	0.6151315789473685	0.6578947368421053	0.7324561403508771	0.6743421052631579	0.7368421052631579
deepseek-8b	gaia	10.0	25.0	50.0	0.0	0.6000000000000001	0.3333333333333333	0.42	0.8666666666666667	0.5466666666666667	0.66	0.39999999999999997	0.4533333333333333	0.44	0.7666666666666666	0.6133333333333333	0.68	0.4666666666666666	0.43999999999999995	0.44	0.8666666666666667	0.5866666666666667	0.6999999999999998	0.4333333333333333	0.21333333333333335	0.26	0.7333333333333334	0.49333333333333335	0.56	0.6	0.26666666666666666	0.4000000000000001	0.7333333333333334	0.49333333333333335	0.58	0.4533333333333333	0.6133333333333333	0.44	0.6999999999999998
deepseek-8b	hotpot	116.0	289.0	578.0	0.0	0.32758620689655177	0.30565167243367936	0.31141868512110726	0.5862068965517242	0.5547866205305652	0.5657439446366782	0.26149425287356326	0.24913494809688583	0.25432525951557095	0.6120689655172414	0.5778546712802768	0.5847750865051903	0.1752873563218391	0.17993079584775087	0.18512110726643596	0.5660919540229884	0.5397923875432526	0.5484429065743944	0.32758620689655177	0.31718569780853517	0.32006920415224915	0.6091954022988505	0.5870818915801616	0.5916955017301038	0.2298850574712644	0.23414071510957324	0.23183391003460208	0.6293103448275863	0.5951557093425606	0.5986159169550173	0.31718569780853517	0.5986159169550173	0.32006920415224915	0.5986159169550173
deepseek-8b	math500	32.0	79.0	157.0	0.0	0.2604166666666667	0.24050632911392408	0.24840764331210194	0.3958333333333333	0.3713080168776371	0.36942675159235666	0.4375	0.5485232067510548	0.48407643312101917	0.53125	0.569620253164557	0.5286624203821656	0.40625	0.43881856540084385	0.4076433121019109	0.5729166666666666	0.5527426160337553	0.535031847133758	0.25	0.2278481012658228	0.24203821656050958	0.2708333333333333	0.2658227848101266	0.28662420382165604	0.34375	0.4767932489451477	0.41401273885350315	0.4791666666666667	0.5400843881856541	0.5031847133757962	0.5485232067510548	0.5738396624472574	0.48407643312101917	0.535031847133758
deepseek-8b	mmlu_pro	19.0	46.0	92.0	0.0	0.3859649122807018	0.45652173913043476	0.43478260869565216	0.5087719298245613	0.6159420289855073	0.5652173913043478	0.43859649122807015	0.48550724637681153	0.47826086956521746	0.5614035087719298	0.644927536231884	0.6195652173913043	0.6491228070175439	0.6086956521739131	0.6195652173913043	0.6842105263157895	0.782608695652174	0.7282608695652174	0.1929824561403509	0.2898550724637681	0.23913043478260873	0.2982456140350877	0.40579710144927533	0.33695652173913043	0.631578947368421	0.5797101449275363	0.5869565217391305	0.7192982456140351	0.717391304347826	0.7065217391304349	0.6086956521739131	0.782608695652174	0.6195652173913043	0.7282608695652174
deepseek-8b	musique	63.0	156.0	312.0	0.0	0.28571428571428575	0.2692307692307692	0.26282051282051283	0.5873015873015873	0.5427350427350427	0.5448717948717948	0.25925925925925924	0.23076923076923075	0.22435897435897437	0.5873015873015873	0.5619658119658121	0.5608974358974359	0.20105820105820105	0.18162393162393164	0.17307692307692304	0.544973544973545	0.5277777777777778	0.5192307692307693	0.2698412698412698	0.2692307692307692	0.25961538461538464	0.5396825396825397	0.5277777777777778	0.5192307692307693	0.25925925925925924	0.22863247863247863	0.22435897435897437	0.5873015873015873	0.5726495726495727	0.5673076923076923	0.2756410256410256	0.5726495726495727	0.26282051282051283	0.5673076923076923
