model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder-tsel.s42_step@1_val	stepfinder-tsel.s42_step@1_test	stepfinder-tsel.s42_step@1_full	stepfinder-tsel.s42_agent@1_val	stepfinder-tsel.s42_agent@1_test	stepfinder-tsel.s42_agent@1_full	stepfinder-tsel.s43_step@1_val	stepfinder-tsel.s43_step@1_test	stepfinder-tsel.s43_step@1_full	stepfinder-tsel.s43_agent@1_val	stepfinder-tsel.s43_agent@1_test	stepfinder-tsel.s43_agent@1_full	stepfinder-tsel.s44_step@1_val	stepfinder-tsel.s44_step@1_test	stepfinder-tsel.s44_step@1_full	stepfinder-tsel.s44_agent@1_val	stepfinder-tsel.s44_agent@1_test	stepfinder-tsel.s44_agent@1_full	stepfinder-tsel.s45_step@1_val	stepfinder-tsel.s45_step@1_test	stepfinder-tsel.s45_step@1_full	stepfinder-tsel.s45_agent@1_val	stepfinder-tsel.s45_agent@1_test	stepfinder-tsel.s45_agent@1_full	stepfinder-tsel.s46_step@1_val	stepfinder-tsel.s46_step@1_test	stepfinder-tsel.s46_step@1_full	stepfinder-tsel.s46_agent@1_val	stepfinder-tsel.s46_agent@1_test	stepfinder-tsel.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
deepseek-8b	arc	61.0	152.0	304.0	0.0	0.7049180327868853	0.7171052631578947	0.7138157894736842	0.8633879781420765	0.8157894736842105	0.8157894736842105	0.4754098360655738	0.5087719298245614	0.5032894736842105	0.628415300546448	0.6184210526315791	0.6118421052631579	0.6721311475409836	0.6776315789473685	0.6907894736842105	0.7814207650273225	0.7697368421052632	0.7763157894736842	0.6229508196721311	0.6052631578947368	0.618421052631579	0.7595628415300547	0.7105263157894736	0.7105263157894738	0.33879781420765026	0.4166666666666667	0.40131578947368424	0.5136612021857924	0.537280701754386	0.5230263157894737	0.7171052631578947	0.8157894736842105	0.7138157894736842	0.8157894736842105
deepseek-8b	gaia	10.0	25.0	50.0	0.0	0.3666666666666667	0.26666666666666666	0.3	0.7000000000000001	0.5333333333333333	0.6	0.4000000000000001	0.3333333333333333	0.34	0.7000000000000001	0.6000000000000001	0.62	0.4666666666666666	0.3066666666666667	0.34	0.7000000000000001	0.5333333333333333	0.6	0.4000000000000001	0.28	0.32	0.6666666666666666	0.5333333333333333	0.58	0.4333333333333333	0.19999999999999998	0.26	0.6666666666666666	0.6000000000000001	0.6	0.3466666666666667	0.6133333333333334	0.34	0.62
deepseek-8b	hotpot	116.0	289.0	578.0	0.0	0.14942528735632185	0.1568627450980392	0.15397923875432526	0.7385057471264368	0.7220299884659745	0.7214532871972318	0.2270114942528736	0.21568627450980393	0.21453287197231838	0.6839080459770116	0.6528258362168397	0.6487889273356401	0.15804597701149425	0.18339100346020762	0.17301038062283736	0.6724137931034483	0.6470588235294118	0.643598615916955	0.16666666666666666	0.17647058823529413	0.17647058823529413	0.7241379310344828	0.7254901960784313	0.7197231833910035	0.1810344827586207	0.17416378316032297	0.17647058823529413	0.735632183908046	0.7312572087658592	0.7283737024221453	0.21568627450980393	0.7312572087658592	0.21453287197231838	0.7283737024221453
deepseek-8b	math500	32.0	79.0	157.0	0.0	0.4791666666666667	0.48101265822784806	0.45859872611464975	0.625	0.6118143459915611	0.5796178343949044	0.4166666666666667	0.41350210970464135	0.3949044585987262	0.625	0.48945147679324896	0.5031847133757962	0.5729166666666666	0.5485232067510549	0.535031847133758	0.6458333333333334	0.6244725738396625	0.5987261146496815	0.3958333333333333	0.5147679324894514	0.45859872611464975	0.5729166666666666	0.5907172995780591	0.5668789808917197	0.4583333333333333	0.44725738396624476	0.43949044585987257	0.53125	0.5105485232067511	0.5159235668789809	0.5569620253164557	0.6286919831223629	0.535031847133758	0.5987261146496815
deepseek-8b	mmlu_pro	19.0	46.0	92.0	0.0	0.6315789473684211	0.6304347826086957	0.6195652173913043	0.7543859649122807	0.818840579710145	0.7934782608695651	0.5087719298245613	0.49275362318840576	0.4891304347826087	0.6491228070175439	0.7028985507246377	0.6739130434782609	0.6491228070175439	0.6376811594202899	0.6521739130434783	0.6842105263157895	0.7971014492753623	0.7717391304347826	0.5614035087719298	0.5144927536231885	0.5	0.631578947368421	0.6956521739130436	0.6630434782608695	0.42105263157894735	0.4855072463768116	0.43478260869565216	0.5789473684210527	0.6811594202898551	0.6195652173913043	0.6521739130434784	0.818840579710145	0.6521739130434783	0.7934782608695651
deepseek-8b	musique	63.0	156.0	312.0	0.0	0.164021164021164	0.17948717948717952	0.17307692307692304	0.7037037037037037	0.6965811965811964	0.6987179487179486	0.21164021164021163	0.19444444444444442	0.1987179487179487	0.6613756613756614	0.6346153846153846	0.6314102564102564	0.164021164021164	0.19017094017094016	0.1762820512820513	0.6613756613756614	0.6175213675213675	0.625	0.19047619047619047	0.19444444444444445	0.19230769230769232	0.7671957671957671	0.7264957264957265	0.7371794871794872	0.15343915343915343	0.1581196581196581	0.15064102564102563	0.746031746031746	0.7243589743589743	0.7339743589743589	0.20512820512820515	0.7264957264957265	0.1987179487179487	0.7371794871794872
deepseek-8b	wikimqa	147.0	367.0	733.0	0.0	0.10430839002267574	0.07901907356948229	0.08731241473396999	0.72562358276644	0.6902815622161671	0.7039563437926329	0.11111111111111112	0.11262488646684832	0.1077762619372442	0.6462585034013606	0.6366939146230699	0.6384720327421555	0.09977324263038549	0.10445049954586738	0.10368349249658936	0.6938775510204082	0.6875567665758401	0.6780354706684856	0.12244897959183675	0.13896457765667575	0.1364256480218281	0.7369614512471655	0.6957311534968212	0.7066848567530696	0.10430839002267574	0.09173478655767485	0.09549795361527967	0.7301587301587302	0.6848319709355132	0.6998635743519782	0.13896457765667575	0.6993642143505904	0.1364256480218281	0.7066848567530696
qwen3.5-4b	arc	61.0	152.0	304.0	0.0	0.10382513661202186	0.09210526315789473	0.09210526315789473	0.27322404371584696	0.23026315789473684	0.22039473684210523	0.12568306010928962	0.10526315789473684	0.10526315789473684	0.2568306010928962	0.2192982456140351	0.2138157894736842	0.11475409836065571	0.11403508771929823	0.10855263157894739	0.27322404371584696	0.2412280701754386	0.23026315789473684	0.07103825136612021	0.08771929824561403	0.07894736842105263	0.23497267759562843	0.21052631578947367	0.19736842105263155	0.23497267759562843	0.2280701754385965	0.22697368421052633	0.366120218579235	0.33991228070175444	0.32894736842105265	0.2280701754385965	0.33991228070175444	0.22697368421052633	0.32894736842105265
qwen3.5-4b	gaia	10.0	25.0	50.0	0.0	0.2333333333333333	0.12	0.12	0.5666666666666665	0.4266666666666667	0.46	0.3333333333333333	0.16	0.18000000000000002	0.5666666666666668	0.37333333333333335	0.42	0.2333333333333333	0.06666666666666667	0.10000000000000002	0.6333333333333333	0.39999999999999997	0.46	0.20000000000000004	0.02666666666666667	0.06	0.5	0.3866666666666667	0.42	0.26666666666666666	0.14666666666666667	0.16	0.5333333333333333	0.4133333333333334	0.44	0.17333333333333334	0.45333333333333337	0.18000000000000002	0.46
qwen3.5-4b	hotpot	116.0	289.0	578.0	0.0	0.10919540229885057	0.10611303344867358	0.09688581314878893	0.7212643678160919	0.7047289504036908	0.6937716262975778	0.22126436781609193	0.1845444059976932	0.18512110726643596	0.7040229885057472	0.7116493656286043	0.6955017301038063	0.1264367816091954	0.12341407151095733	0.11418685121107268	0.6666666666666666	0.671280276816609	0.6522491349480969	0.11781609195402298	0.11995386389850056	0.10726643598615919	0.6293103448275862	0.6366782006920415	0.615916955017301	0.17816091954022992	0.16032295271049596	0.15051903114186851	0.6522988505747126	0.6505190311418686	0.6332179930795848	0.1845444059976932	0.7116493656286043	0.18512110726643596	0.6955017301038063
