model	subset	n_val	n_test	n_full	gt_in_prompt	all_at_once_step@1_val	all_at_once_step@1_test	all_at_once_step@1_full	all_at_once_agent@1_val	all_at_once_agent@1_test	all_at_once_agent@1_full	step_by_step_step@1_val	step_by_step_step@1_test	step_by_step_step@1_full	step_by_step_agent@1_val	step_by_step_agent@1_test	step_by_step_agent@1_full	binary_search_step@1_val	binary_search_step@1_test	binary_search_step@1_full	binary_search_agent@1_val	binary_search_agent@1_test	binary_search_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
deepseek-8b	wikimqa	147.0	367.0	733.0	0.0	0.05895691609977324	0.05267938237965486	0.05320600272851297	0.34467120181405897	0.3633060853769301	0.35197817189631647	0.06575963718820861	0.06357856494096276	0.06002728512960437	0.25170068027210885	0.23614895549500456	0.22783083219645292	0.25623582766439906	0.24250681198910082	0.24693042291950887	0.5668934240362812	0.5821980018165304	0.5716234652114598	0.24250681198910082	0.5821980018165304	0.24693042291950887	0.5716234652114598
gpt-4o	arc	61.0	152.0	304.0	0.0	0.5136612021857924	0.4298245614035087	0.4572368421052631	0.8852459016393444	0.8881578947368421	0.8848684210526315	0.8469945355191256	0.8508771929824562	0.8519736842105262	0.8360655737704917	0.8486842105263158	0.8453947368421053	0.4754098360655738	0.5	0.5	0.45901639344262296	0.4692982456140351	0.46381578947368424	0.8508771929824562	0.8881578947368421	0.8519736842105262	0.8848684210526315
gpt-4o	gaia	10.0	25.0	50.0	0.0	0.2333333333333333	0.13333333333333333	0.16	0.7333333333333334	0.6933333333333334	0.7399999999999999	0.3666666666666667	0.3866666666666667	0.36000000000000004	0.5666666666666668	0.5333333333333333	0.5	0.0	0.02666666666666667	0.02	0.0	0.013333333333333334	0.02	0.3866666666666667	0.6933333333333334	0.36000000000000004	0.7399999999999999
gpt-4o	hotpot	116.0	289.0	578.0	0.0	0.1810344827586207	0.1637831603229527	0.16782006920415224	0.7873563218390803	0.7773933102652825	0.7768166089965399	0.5316091954022989	0.5570934256055363	0.5570934256055363	0.6408045977011494	0.6332179930795848	0.6384083044982699	0.1235632183908046	0.13956170703575546	0.14186851211072665	0.1925287356321839	0.18915801614763553	0.19896193771626294	0.5570934256055363	0.7773933102652825	0.5570934256055363	0.7768166089965399
gpt-4o	math500	32.0	79.0	157.0	0.0	0.40625	0.3670886075949367	0.34394904458598724	0.6458333333333334	0.6708860759493671	0.6369426751592356	0.6041666666666666	0.6371308016877637	0.5923566878980892	0.5416666666666666	0.569620253164557	0.5414012738853503	0.07291666666666667	0.16455696202531644	0.14012738853503184	0.11458333333333333	0.14345991561181434	0.12738853503184713	0.6371308016877637	0.6708860759493671	0.5923566878980892	0.6369426751592356
gpt-4o	mmlu_pro	19.0	46.0	92.0	0.0	0.40350877192982454	0.41304347826086957	0.3695652173913044	0.8070175438596491	0.8840579710144927	0.8586956521739131	0.6842105263157894	0.7246376811594203	0.6956521739130435	0.7192982456140351	0.7971014492753623	0.7608695652173912	0.21052631578947367	0.2101449275362319	0.22826086956521738	0.14035087719298245	0.19565217391304346	0.1847826086956522	0.7246376811594203	0.8840579710144927	0.6956521739130435	0.8586956521739131
gpt-4o	musique	63.0	156.0	312.0	0.0	0.10052910052910052	0.10897435897435898	0.10256410256410257	0.7724867724867726	0.7948717948717948	0.7852564102564102	0.5502645502645502	0.5448717948717948	0.5480769230769231	0.6243386243386243	0.6068376068376069	0.6121794871794872	0.037037037037037035	0.0641025641025641	0.060897435897435896	0.08994708994708994	0.11965811965811966	0.10256410256410257	0.5448717948717948	0.7948717948717948	0.5480769230769231	0.7852564102564102
gpt-4o	wikimqa	147.0	367.0	733.0	0.0	0.08390022675736962	0.09900090826521345	0.0927694406548431	0.7732426303854876	0.7593097184377838	0.7653478854024557	0.5034013605442177	0.485921889191644	0.4924965893587994	0.6553287981859411	0.6330608537693007	0.6371077762619373	0.09977324263038549	0.10535876475930972	0.09686221009549795	0.217687074829932	0.18619436875567666	0.1937244201909959	0.485921889191644	0.7593097184377838	0.4924965893587994	0.7653478854024557
gpt-5	arc	61.0	152.0	304.0	0.0	0.6885245901639344	0.6666666666666666	0.6809210526315791	0.912568306010929	0.9035087719298245	0.8980263157894738	0.8961748633879781	0.875	0.8848684210526315	0.8907103825136612	0.8837719298245613	0.8815789473684209	0.907103825136612	0.912280701754386	0.9078947368421053	0.907103825136612	0.9057017543859649	0.8980263157894738	0.912280701754386	0.9057017543859649	0.9078947368421053	0.8980263157894738
gpt-5	gaia	10.0	25.0	50.0	0.0	0.26666666666666666	0.49333333333333335	0.44	0.7333333333333334	0.64	0.68	0.5333333333333333	0.5066666666666667	0.52	0.7666666666666666	0.6	0.62	0.6666666666666666	0.6933333333333334	0.6999999999999998	0.7333333333333334	0.64	0.68	0.6933333333333334	0.64	0.6999999999999998	0.68
gpt-5	hotpot	116.0	289.0	578.0	0.0	0.6235632183908045	0.641291810841984	0.6280276816608996	0.8247126436781609	0.8027681660899654	0.7923875432525952	0.632183908045977	0.6424452133794695	0.6384083044982699	0.7701149425287356	0.7404844290657439	0.7422145328719724	0.6724137931034483	0.6782006920415226	0.6730103806228374	0.7557471264367815	0.7554786620530565	0.7577854671280276	0.6782006920415226	0.8027681660899654	0.6730103806228374	0.7923875432525952
gpt-5	math500	32.0	79.0	157.0	0.0	0.71875	0.7637130801687765	0.764331210191083	0.6875	0.6624472573839663	0.6560509554140127	0.6145833333333334	0.5569620253164557	0.554140127388535	0.4895833333333333	0.48945147679324896	0.47133757961783446	0.8229166666666666	0.839662447257384	0.8152866242038218	0.6666666666666666	0.6835443037974684	0.6496815286624203	0.839662447257384	0.6835443037974684	0.8152866242038218	0.6560509554140127
gpt-5	mmlu_pro	19.0	46.0	92.0	0.0	0.5614035087719298	0.6666666666666666	0.6304347826086957	0.8070175438596491	0.9130434782608696	0.8695652173913043	0.8771929824561403	0.8188405797101449	0.8152173913043478	0.7894736842105262	0.8260869565217391	0.8043478260869565	0.7719298245614036	0.8478260869565218	0.8043478260869565	0.7719298245614036	0.8985507246376812	0.8478260869565218	0.8550724637681159	0.9130434782608696	0.8152173913043478	0.8695652173913043
gpt-5	musique	63.0	156.0	312.0	0.0	0.6084656084656085	0.6346153846153846	0.6282051282051282	0.8359788359788359	0.826923076923077	0.8365384615384616	0.582010582010582	0.5833333333333334	0.5865384615384616	0.7936507936507936	0.7863247863247863	0.782051282051282	0.6878306878306878	0.7008547008547009	0.6987179487179486	0.82010582010582	0.8034188034188033	0.8108974358974358	0.7008547008547009	0.826923076923077	0.6987179487179486	0.8365384615384616
gpt-5	wikimqa	147.0	367.0	733.0	0.0	0.6485260770975056	0.6103542234332425	0.6152796725784447	0.8503401360544217	0.7992733878292461	0.8090040927694405	0.6258503401360545	0.5676657584014532	0.5784447476125512	0.7755102040816326	0.7211625794732063	0.7271487039563439	0.709750566893424	0.6575840145322435	0.6725784447476125	0.8027210884353742	0.7629427792915532	0.7748976807639836	0.6575840145322435	0.7992733878292461	0.6725784447476125	0.8090040927694405
